probe_date,total_file,total_size,total_size_pretty
2012-02-01,1,7538993,7362 kB
2012-07-01,15,97909701,93 MB
2012-08-01,5,59366093,57 MB
2012-09-01,15,33616315,32 MB
2012-10-01,12,74095878,71 MB
2012-11-01,5,4480497,4375 kB
2012-12-01,17,16084744,15 MB
2013-07-01,19,174470289,166 MB
2013-08-01,43,842306001,803 MB
2013-09-01,37,1283689322,1224 MB
2013-10-01,1,248090,242 kB
2013-11-01,2,52539301,50 MB
2014-01-01,2,134956364,129 MB
2014-02-01,41,377430145,360 MB
2014-03-01,50,1239073641,1182 MB
2014-04-01,2,524706,512 kB
2014-05-01,20,15364259,15 MB
2014-06-01,8,11571267,11 MB
2014-07-01,19,166539372,159 MB
2014-08-01,11,95600334,91 MB
2014-09-01,44,1234651901,1177 MB
2014-10-01,64,12055113,11 MB
2014-11-01,94,1139059515,1086 MB
2014-12-01,13,216292530,206 MB
2015-01-01,83,20535746,20 MB
2015-02-01,147,51793905,49 MB
2015-03-01,31,188915744,180 MB
2015-05-01,112,293317902,280 MB
2015-06-01,55,210153462,200 MB
2015-07-01,10,21873683,21 MB
2015-08-01,30,151122567,144 MB
2015-09-01,28,22593012,22 MB
2015-10-01,3,92194717,88 MB
2015-11-01,4,94660658,90 MB
2015-12-01,10,310011681,296 MB
2016-02-01,10,192569627,184 MB
2016-03-01,3,94462923,90 MB
2016-04-01,1,32071482,31 MB
2016-05-01,66,2019460931,1926 MB
2016-06-01,49,1385946521,1322 MB
2016-07-01,109,3355599704,3200 MB
2016-08-01,48,1519625271,1449 MB
2016-09-01,15,477193636,455 MB
2016-10-01,4,127493475,122 MB
2016-12-01,32,57824359,55 MB
2017-01-01,148,241728111,231 MB
2017-02-01,33,229471156,219 MB
2017-03-01,13,192384666,183 MB
2017-04-01,3,60117274,57 MB
2017-05-01,44,670150556,639 MB
2017-06-01,152,2551829537,2434 MB
2017-07-01,102,429746119,410 MB
2017-08-01,125,6978642510,6655 MB
2017-09-01,97,2106696065,2009 MB
2017-10-01,4,17737808,17 MB
2017-11-01,106,1836081525,1751 MB
2017-12-01,50,1216759202,1160 MB
2018-01-01,147,3551752001,3387 MB
2018-02-01,18,36184920,35 MB
2018-03-01,66,1973360752,1882 MB
2018-04-01,206,4223858309,4028 MB
2018-05-01,90,2781213685,2652 MB
2018-06-01,74,1685119388,1607 MB
2018-07-01,508,9478260303,9039 MB
2018-08-01,66,624059742,595 MB
2018-09-01,235,3924145320,3742 MB
2018-10-01,343,11967396312,11 GB
2018-11-01,133,3872793756,3693 MB
2018-12-01,226,4499896757,4291 MB
2019-01-01,210,2695445135,2571 MB
2019-02-01,83,1420699311,1355 MB
2019-03-01,88,1985766367,1894 MB
2019-04-01,54,1385308611,1321 MB
2019-05-01,40,2112392315,2015 MB
2019-06-01,24,565854880,540 MB
2019-07-01,20,1069125734,1020 MB
2019-08-01,85,3926850724,3745 MB
2019-09-01,81,2113011021,2015 MB
2019-10-01,27,423147776,404 MB
2019-11-01,72,15814631855,15 GB
2019-12-01,70,23367376298,22 GB
2020-01-01,171,25607000819,24 GB
2020-02-01,87,22676016543,21 GB
2020-03-01,48,7822679259,7460 MB
2020-04-01,264,5520934399,5265 MB
2020-05-01,104,4706170862,4488 MB
2020-06-01,25,11025415664,10 GB
2020-07-01,39,4212266173,4017 MB
2020-08-01,89,9079845054,8659 MB
2020-09-01,113,2689142793,2565 MB
2020-10-01,198,6473263274,6173 MB
2020-11-01,270,12483573153,12 GB
2020-12-01,120,4947771450,4719 MB
2021-01-01,131,3337911347,3183 MB
2021-02-01,178,4787905878,4566 MB
2021-03-01,293,11909001635,11 GB
2021-04-01,1496,30201218622,28 GB
2021-05-01,1902,36090975399,34 GB
2021-06-01,1621,42043493313,39 GB
2021-07-01,1744,38905041051,36 GB
2021-08-01,1818,41688282833,39 GB
2021-09-01,2062,50991673984,47 GB
2021-10-01,1735,57660108555,54 GB
2021-11-01,1786,51783281743,48 GB
2021-12-01,1798,44158670050,41 GB
2022-01-01,1673,47905427431,45 GB
2022-02-01,1307,42097265576,39 GB
2022-03-01,2590,73466757290,68 GB
2022-04-01,1185,65036218419,61 GB
